exp	val_loss	steps	status	description
0	4.804913	111	keep	Baseline: N_LAYER=6, N_HEAD=6, N_EMBD=384, DROPOUT=0.1, LR=3e-4, WD=0.1, BS=8, GRAD_ACCUM=1, WARMUP=50, BETAS=(0.9,0.95)
1	5.331203	66	discard	LEARNING_RATE: 3e-4 -> 1e-3
2	5.262449	71	discard	LEARNING_RATE: 3e-4 -> 2e-3
3	5.289694	131	discard	N_LAYER=4, N_HEAD=3, N_EMBD=192 (too small)
4	4.298028	179	keep	N_LAYER=4, N_HEAD=4, N_EMBD=256 (smaller, more steps)
5	4.124383	196	keep	WARMUP_STEPS: 50 -> 10
6	4.278002	160	discard	WARMUP_STEPS: 10 -> 0
7	4.331839	160	discard	WARMUP_STEPS: 10 -> 5
8	4.405665	159	discard	WARMUP_STEPS: 10 -> 20
9	3.907157	168	keep	LEARNING_RATE: 3e-4 -> 6e-4
10	3.598455	215	keep	LEARNING_RATE: 6e-4 -> 1e-3
11	3.980995	225	discard	LEARNING_RATE: 1e-3 -> 2e-3
12	3.518768	235	keep	DROPOUT: 0.1 -> 0.0
13	3.580576	212	discard	DROPOUT: 0.0 -> 0.05
14	3.597571	214	discard	N_LAYER: 4 -> 5
15	3.483062	226	keep	N_LAYER: 4 -> 3
16	3.411116	238	keep	N_LAYER: 3 -> 2
17	3.777695	182	discard	N_EMBD: 256 -> 384 (too slow)
18	3.522977	317	discard	N_EMBD: 256 -> 128 (too small capacity)
19	3.423377	263	discard	N_EMBD: 256 -> 192
20	3.417739	239	discard	N_HEAD: 4 -> 2
21	3.467992	224	discard	N_HEAD: 4 -> 8
22	3.405877	240	keep	WEIGHT_DECAY: 0.1 -> 0.01
23	3.380705	249	keep	WEIGHT_DECAY: 0.01 -> 0.0
24	3.807813	112	discard	BATCH_SIZE: 8 -> 16
25	3.379245	410	keep	BATCH_SIZE: 8 -> 4
26	3.391931	772	discard	BATCH_SIZE: 4 -> 2
27	3.239009	479	keep	BETAS: (0.9,0.95) -> (0.9,0.99)
28	3.205589	499	keep	BETAS: (0.9,0.99) -> (0.9,0.999)
29	3.272305	271	discard	GRAD_ACCUM_STEPS: 1 -> 2
30	3.693394	583	discard	LEARNING_RATE: 1e-3 -> 2e-3
31	3.174884	575	keep	LEARNING_RATE: 1e-3 -> 6e-4
32	3.365163	616	discard	LEARNING_RATE: 6e-4 -> 3e-4
33	3.181223	583	discard	N_LAYER: 2 -> 3
34	3.133402	633	keep	WARMUP_STEPS: 10 -> 5
35	3.123270	625	keep	WARMUP_STEPS: 5 -> 0
36	3.085317	1135	keep	BATCH_SIZE: 4 -> 2
37	3.042566	1138	keep	LEARNING_RATE: 6e-4 -> 1e-3
38	3.647152	1095	discard	LEARNING_RATE: 1e-3 -> 2e-3
39	3.832500	673	discard	N_EMBD: 256 -> 384
40	3.492386	603	discard	N_LAYER=3, N_EMBD=192, N_HEAD=3
41	3.450304	597	discard	WEIGHT_DECAY: 0.0 -> 0.01
42	3.351276	696	discard	N_HEAD: 4 -> 2
43	3.795967	333	discard	BETAS: (0.9,0.999) -> (0.9,0.99)
44	4.361458	462	discard	LEARNING_RATE: 1e-3 -> 3e-3
45	3.287470	1000	discard	N_LAYER=4, N_EMBD=128
46	3.336794	1203	discard	N_EMBD=96, N_HEAD=2
47	3.281158	800	discard	DROPOUT: 0.0 -> 0.05
48	3.950784	469	discard	N_EMBD=512, N_HEAD=8
49	3.331515	418	discard	GRAD_ACCUM_STEPS: 1 -> 2
50	3.250272	1074	discard	N_EMBD=128, N_HEAD=2
51	3.928126	1105	discard	LEARNING_RATE: 1e-3 -> 1e-4
52	3.105933	1075	discard	N_LAYER: 2 -> 3
53	3.126810	1051	discard	N_LAYER=3, LR=6e-4
54	3.086996	1110	discard	N_HEAD: 4 -> 8
55	3.069047	1097	discard	WEIGHT_DECAY: 0.0 -> 0.05
56	3.071424	1149	discard	WEIGHT_DECAY: 0.0 -> 0.2
57	3.306170	986	discard	N_LAYER: 2 -> 4
58	3.033880	1256	keep	N_EMBD: 256 -> 192
59	3.094229	1561	discard	N_EMBD: 192 -> 128
60	3.055943	1218	discard	N_HEAD: 4 -> 3
61	3.034115	1258	discard	N_HEAD: 4 -> 6
62	3.100968	1291	discard	LEARNING_RATE: 1e-3 -> 6e-4
